_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
2824,179,SION KOLIWADA,9,ADV. ASHWINIKUMAR RAMDARASH PATHAK,Independent,155,2,157,0.1
2825,179,SION KOLIWADA,10,KARAM HUSSAIN KITABULLAHA KHAN,Independent,67,1,68,0.04
2826,179,SION KOLIWADA,11,PRAMIT KAMLESH MEHTA,Independent,142,1,143,0.09
2827,179,SION KOLIWADA,12,MALIK KHUSHNOOD MALIK MAHEMOOD AHMAD,Independent,107,0,107,0.07
2828,179,SION KOLIWADA,13,CA VETTESHWAR PERIYANADAR,Independent,331,0,331,0.22
2829,179,SION KOLIWADA,14,SHANOOR ABDUL WAHAB SHAIKH,Independent,398,0,398,0.26
2830,179,SION KOLIWADA,15,SANGEETA AVINASH JADHAV,Independent,490,0,490,0.32
2831,179,SION KOLIWADA,16,NOTA,None of the Above,1890,3,1893,1.24
2832,180,WADALA,1,KALIDAS NILKANTH KOLAMBKAR,Bharatiya Janata Party,65856,944,66800,55.78
2833,180,WADALA,2,SHRADDHA SHREEDHAR JADHAV,Shiv Sena (Uddhav Balasaheb Thackeray),41549,278,41827,34.93
2834,180,WADALA,3,SNEHAL SUDHIR JADHAV,Maharashtra Navnirman sena,6933,39,6972,5.82
2835,180,WADALA,4,JALAL MUKHTAR KHAN,Bahujan Maha Party,267,3,270,0.23
2836,180,WADALA,5,MANOJ MOHAN GAIKWAD,Republican Sena,1386,21,1407,1.17
2837,180,WADALA,6,RAMESH YASHWANT SHINDE,Right to Recall Party,179,3,182,0.15
2838,180,WADALA,7,ATUL SHARDA SHIVAJI KALE,Independent,131,1,132,0.11
2839,180,WADALA,8,MANOJ MARUTI PAWAR,Independent,270,3,273,0.23
2840,180,WADALA,9,SURYAKANT SAKHARAM MANE,Independent,183,2,185,0.15
2841,180,WADALA,10,NOTA,None of the Above,1691,17,1708,1.43
2842,181,MAHIM,1,AMIT RAJ THACKERAY,Maharashtra Navnirman sena,32710,352,33062,24.56
2843,181,MAHIM,2,MAHESH BALIRAM SAWANT,Shiv Sena (Uddhav Balasaheb Thackeray),49846,367,50213,37.31
2844,181,MAHIM,3,SADA SARVANKAR,Shiv Sena,48394,503,48897,36.33
2845,181,MAHIM,4,SUDHIR BANDU JADHAV,Bahujan Samaj Party,348,2,350,0.26
2846,181,MAHIM,5,FAROOQ SALEEM SAYYED,Bahujan Republican  Socialist Party,272,4,276,0.21
2847,181,MAHIM,6,NITIN RAMESH DALVI,Independent,243,5,248,0.18
2848,181,MAHIM,7,NOTA,None of the Above,1530,23,1553,1.15
2849,182,WORLI,1,ADITYA UDDHAV THACKERAY,Shiv Sena (Uddhav Balasaheb Thackeray),62450,874,63324,44.19
2850,182,WORLI,2,MILIND MURLI DEORA,Shiv Sena,54001,522,54523,38.05
2851,182,WORLI,3,SURESH KUMAR MISHRILAL GAUTAM,Bahujan Samaj Party,724,6,730,0.51
2852,182,WORLI,4,SANDEEP SUDHAKAR DESHPANDE,Maharashtra Navnirman sena,19142,225,19367,13.51
2853,182,WORLI,5,AMOL ANAND NIKALJE,Vanchit Bahujan  Aaghadi,2840,45,2885,2.01
2854,182,WORLI,6,AMOOL SHIVAJI ROKADE,Republican Sena,306,3,309,0.22
2855,182,WORLI,7,BHAGWAN BABASAHEB NAGARGOJE,Samata Party,90,4,94,0.07
2856,182,WORLI,8,BHIMRAO NAMDEV SAWANT,Ambedkarite Party of India,97,1,98,0.07
2857,182,WORLI,9,RIZWANUR REHMAN QADRI,Aim Political Party,198,1,199,0.14
2858,182,WORLI,10,MOHAMMAD IRSHAD RAFATULLAH SHAIKH,Independent,209,1,210,0.15
2859,182,WORLI,11,NOTA,None of the Above,1528,34,1562,1.09
2860,183,SHIVADI,1,AJAY VINAYAK CHOUDHARI,Shiv Sena (Uddhav Balasaheb Thackeray),74442,448,74890,48.72
2861,183,SHIVADI,2,BALA DAGDU NANDGAONKAR,Maharashtra Navnirman sena,67443,307,67750,44.08
2862,183,SHIVADI,3,MADAN HARISHCHANDRA KHALE,Bahujan Samaj Party,708,7,715,0.47
2863,183,SHIVADI,4,MILIND DEORAO KAMBLE,Vanchit Bahujan  Aaghadi,1005,16,1021,0.66
2864,183,SHIVADI,5,MOHAN KISAN WAIDANDE,Swabhimani Paksha,327,0,327,0.21
2865,183,SHIVADI,6,DR. ANAGHA CHHATRAPATI,Independent,611,4,615,0.4
2866,183,SHIVADI,7,SANJAY NANA GAJANAN AMBOLE,Independent,5897,28,5925,3.85
2867,183,SHIVADI,8,NOTA,None of the Above,2447,13,2460,1.6
2868,184,BYCULLA,1,MANOJ PANDURANG JAMSUTKAR,Shiv Sena (Uddhav Balasaheb Thackeray),79769,364,80133,58.09
2869,184,BYCULLA,2,YAMINI YASHWANT JADHAV,Shiv Sena,48465,307,48772,35.36
2870,184,BYCULLA,3,WARIS ALI SHAIKH,Bahujan Samaj Party,395,3,398,0.29
2871,184,BYCULLA,4,FARHAN HABIB CHAUDHARY,Peace Party,147,1,148,0.11
2872,184,BYCULLA,5,FAIYAZ AHMED,All India Majlis-E-Ittehadul Muslimeen,5521,10,5531,4.01
2873,184,BYCULLA,6,MOHD. NAEEM SHAIKH,Aim Political Party,256,2,258,0.19
2874,184,BYCULLA,7,VINOD MAHADEV CHAVAN,Delhi Janta Party,161,0,161,0.12
2875,184,BYCULLA,8,SHAHE ALAM KHAN,Rashtriya Ulama Council,135,0,135,0.1
2876,184,BYCULLA,9,SAYEED AHMED KHAN,Samajwadi Party,186,1,187,0.14
2877,184,BYCULLA,10,ABBAS F. CHHATRIWALA,Independent,162,1,163,0.12
2878,184,BYCULLA,11,GIRISH DILIP WARHADI,Independent,129,3,132,0.1
2879,184,BYCULLA,12,REHAN VASIULLA KHAN,Independent,93,0,93,0.07
2880,184,BYCULLA,13,WAHEED AHMED ABDUL JALIL QURESHI,Independent,83,0,83,0.06
2881,184,BYCULLA,14,SAJID QURESHI,Independent,171,1,172,0.12
2882,184,BYCULLA,15,NOTA,None of the Above,1571,10,1581,1.15
2883,185,MALABAR HILL,1,BHERULAL DAYALAL CHOUDHARY,Shiv Sena (Uddhav Balasaheb Thackeray),33014,164,33178,24.06
2884,185,MALABAR HILL,2,MANGAL PRABHAT LODHA,Bharatiya Janata Party,100679,518,101197,73.38
2885,185,MALABAR HILL,3,KETAN KISHORE BAWANE,Right to Recall Party,283,1,284,0.21
2886,185,MALABAR HILL,4,SABINA SALIM PATHAN,Aim Political Party,269,4,273,0.2
2887,185,MALABAR HILL,5,ALI RAHIM SHAIKH,Independent,211,4,215,0.16
2888,185,MALABAR HILL,6,RAVINDRA RAMAKANT THAKUR,Independent,312,2,314,0.23
2889,185,MALABAR HILL,7,VIDYA NAIK,Independent,209,0,209,0.15
2890,185,MALABAR HILL,8,SHANKAR SONAWANE,Independent,222,4,226,0.16
2891,185,MALABAR HILL,9,NOTA,None of the Above,1996,19,2015,1.46
2892,186,MUMBADEVI,1,AMIN PATEL,Indian National Congress,74765,225,74990,63.34
2893,186,MUMBADEVI,2,SHAINA MANISH CHUDASAMA MUNOT,Shiv Sena,39997,149,40146,33.91
2894,186,MUMBADEVI,3,PARMESH MURLI KURAKULA,Right to Recall Party,154,1,155,0.13
2895,186,MUMBADEVI,4,MOHHAMED ZAID MANSURI,All India Majlis-E-Inquilab-E-Millat,128,0,128,0.11
2896,186,MUMBADEVI,5,MOHD. NAEEM SHAIKH,Aim Political Party,163,1,164,0.14
2897,186,MUMBADEVI,6,MOHAMMED SHUAIB BASHIR KHATEEB,Aazad Samaj Party (Kanshi Ram),1031,0,1031,0.87
2898,186,MUMBADEVI,7,HAMMAD SYED,Peace Party,79,0,79,0.07
2899,186,MUMBADEVI,8,AAMIR IQBAL NATIQ,Independent,208,0,208,0.18
2900,186,MUMBADEVI,9,NAZIR HAMID KHAN,Independent,151,9,160,0.14
2901,186,MUMBADEVI,10,MOHAMED RAZA ISMAIL MOTIWALA,Independent,75,0,75,0.06
2902,186,MUMBADEVI,11,HUMA PARVEEN BABU ZARIWALA,Independent,135,0,135,0.11
2903,186,MUMBADEVI,12,NOTA,None of the Above,1099,14,1113,0.94
2904,187,COLABA,1,ADV RAHUL SURESH NARWEKAR,Bharatiya Janata Party,80704,381,81085,68.49
2905,187,COLABA,2,RUKHE ARJUN GANPAT,Bahujan Samaj Party,817,16,833,0.7
2906,187,COLABA,3,HEERA NAWAJI DEVASI,Indian National Congress,32418,86,32504,27.46
2907,187,COLABA,4,JEEVARAM CHINTAMAN BAGHEL,Rashtriya Samaj Paksha,279,1,280,0.24
2908,187,COLABA,5,JAIN SURYA,Veer Janshakti Party,315,1,316,0.27
2909,187,COLABA,6,VILAS HARI BORLE,Lokshahi Ekta Party,97,0,97,0.08
2910,187,COLABA,7,CHANDRASHEKHAR DATTARAM SHETYE,Independent,351,0,351,0.3
2911,187,COLABA,8,CHAND MOHAMMED SHEIKH,Independent,85,1,86,0.07
2912,187,COLABA,9,PRASHANT PRAKASH GHADGE,Independent,219,2,221,0.19
2913,187,COLABA,10,MANOHAR GOPAL JADHAV,Independent,177,2,179,0.15
2914,187,COLABA,11,MUHAMMED RIZWAN COATWALA,Independent,79,0,79,0.07
2915,187,COLABA,12,ADV. VIVEKKUMAR TIWARI,Independent,205,1,206,0.17
2916,187,COLABA,13,SADDAM FIROJ KHAN,Independent,159,0,159,0.13
2917,187,COLABA,14,NOTA,None of the Above,1985,8,1993,1.68
2918,188,PANVEL,1,GAJENDRA KRUSHNADAS AHIRE,Bahujan Samaj Party,1516,10,1526,0.4
2919,188,PANVEL,2,PRASHANT RAMSHETH THAKUR,Bharatiya Janata Party,182818,1113,183931,47.9
2920,188,PANVEL,3,YOGESH JANARDAN CHILE,Maharashtra Navnirman sena,10163,68,10231,2.66
2921,188,PANVEL,4,LEENA ARJUN GARAD,Shiv Sena (Uddhav Balasaheb Thackeray),43504,485,43989,11.46
2922,188,PANVEL,5,KANTILAL HARISHCHANDRA KADU,Lokmudra Janhit Party,2420,9,2429,0.63
2923,188,PANVEL,6,PAVAN UTTAMRAO KALE,Bhartiya Jan Samrat Party,476,1,477,0.12
2924,188,PANVEL,7,BALARAM DATTATREY PATIL,Peasants And Workers Party of India,132235,605,132840,34.6
2925,188,PANVEL,8,DR VASANT UTTAM RATHOD,Digital Organization of Nation Party,1024,14,1038,0.27
2926,188,PANVEL,9,SANTOSH SHARAD PAWAR,Republican Sena,1704,25,1729,0.45
2927,188,PANVEL,10,CHETAN NAGESH BHOIR,Independent,445,1,446,0.12
2928,188,PANVEL,11,PRAKASH RAMCHANDRA CHANDIVADE,Independent,264,0,264,0.07
2929,188,PANVEL,12,BALARAM GAURYA PATIL,Independent,456,7,463,0.12
2930,188,PANVEL,13,BALARAM MAHADEV PATIL,Independent,692,4,696,0.18
2931,188,PANVEL,14,NOTA,None of the Above,3879,26,3905,1.02
2932,189,KARJAT,1,THORVE MAHENDRA SADASHIV,Shiv Sena,94511,360,94871,39.53
2933,189,KARJAT,2,NITIN NANDKUMAR SAWANT,Shiv Sena (Uddhav Balasaheb Thackeray),48736,193,48929,20.39
2934,189,KARJAT,3,SHRIRAM BALIRAM MAHADIK,Bahujan Samaj Party,1059,5,1064,0.44
2935,189,KARJAT,4,JAVEED AQDAS KHOT,Independent,369,1,370,0.15
2936,189,KARJAT,5,MAHINDRA LAXMAN THORVE,Independent,226,0,226,0.09
2937,189,KARJAT,6,VISHAL VISHNU PATIL,Independent,329,1,330,0.14
2938,189,KARJAT,7,SUDHAKAR PARSHURAM GHARE,Independent,88750,427,89177,37.16
2939,189,KARJAT,8,SUDHAKAR YADAVRAO GHARE,Independent,2356,5,2361,0.98
2940,189,KARJAT,9,SUDHAKAR SHANKAR GHARE,Independent,714,1,715,0.3
2941,189,KARJAT,10,NOTA,None of the Above,1946,10,1956,0.82
2942,190,URAN,1,MANOHAR GAJANAN BHOIR,Shiv Sena (Uddhav Balasaheb Thackeray),69622,271,69893,26.52
2943,190,URAN,2,MAHESH BALDI,Bharatiya Janata Party,95121,269,95390,36.19
2944,190,URAN,3,ADV. SATYAWAN PANDHARINATH BHAGAT,Maharashtra Navnirman sena,2450,11,2461,0.93
2945,190,URAN,4,SUNIL MARUTI GAIKWAD,Bahujan Samaj Party,594,3,597,0.23
